ROI,Subject,Effects,Fisher transformed correlation coefficients
1,1,crit_CODE/crit_CODE,0.196357
1,1,crit_VERB/crit_CODE,0.134013
1,1,crit_CODE/crit_VERB,0.176425
1,1,crit_VERB/crit_VERB,0.417188
1,2,crit_CODE/crit_CODE,0.200398
1,2,crit_VERB/crit_CODE,0.256913
1,2,crit_CODE/crit_VERB,0.225694
1,2,crit_VERB/crit_VERB,0.586688
1,3,crit_CODE/crit_CODE,0.253627
1,3,crit_VERB/crit_CODE,0.308358
1,3,crit_CODE/crit_VERB,0.247898
1,3,crit_VERB/crit_VERB,0.548797
1,4,crit_CODE/crit_CODE,0.450720
1,4,crit_VERB/crit_CODE,0.569529
1,4,crit_CODE/crit_VERB,0.547773
1,4,crit_VERB/crit_VERB,0.668504
1,5,crit_CODE/crit_CODE,0.336648
1,5,crit_VERB/crit_CODE,0.161146
1,5,crit_CODE/crit_VERB,0.135040
1,5,crit_VERB/crit_VERB,0.549043
1,6,crit_CODE/crit_CODE,0.546548
1,6,crit_VERB/crit_CODE,0.505521
1,6,crit_CODE/crit_VERB,0.536497
1,6,crit_VERB/crit_VERB,0.430172
1,7,crit_CODE/crit_CODE,0.793016
1,7,crit_VERB/crit_CODE,0.808001
1,7,crit_CODE/crit_VERB,0.711601
1,7,crit_VERB/crit_VERB,1.063927
1,8,crit_CODE/crit_CODE,0.201653
1,8,crit_VERB/crit_CODE,0.183960
1,8,crit_CODE/crit_VERB,0.179873
1,8,crit_VERB/crit_VERB,0.063201
1,9,crit_CODE/crit_CODE,0.523349
1,9,crit_VERB/crit_CODE,0.563505
1,9,crit_CODE/crit_VERB,0.515327
1,9,crit_VERB/crit_VERB,0.577689
1,10,crit_CODE/crit_CODE,0.210619
1,10,crit_VERB/crit_CODE,0.337131
1,10,crit_CODE/crit_VERB,0.295728
1,10,crit_VERB/crit_VERB,0.707145
1,11,crit_CODE/crit_CODE,0.326298
1,11,crit_VERB/crit_CODE,0.403677
1,11,crit_CODE/crit_VERB,0.342728
1,11,crit_VERB/crit_VERB,0.594310
1,12,crit_CODE/crit_CODE,0.099553
1,12,crit_VERB/crit_CODE,0.066976
1,12,crit_CODE/crit_VERB,0.210785
1,12,crit_VERB/crit_VERB,0.251510
1,13,crit_CODE/crit_CODE,0.554403
1,13,crit_VERB/crit_CODE,0.462021
1,13,crit_CODE/crit_VERB,0.551754
1,13,crit_VERB/crit_VERB,0.427816
1,14,crit_CODE/crit_CODE,0.715597
1,14,crit_VERB/crit_CODE,0.342477
1,14,crit_CODE/crit_VERB,0.468009
1,14,crit_VERB/crit_VERB,0.320185
1,15,crit_CODE/crit_CODE,0.162028
1,15,crit_VERB/crit_CODE,0.086364
1,15,crit_CODE/crit_VERB,0.077998
1,15,crit_VERB/crit_VERB,0.432599
1,16,crit_CODE/crit_CODE,0.645685
1,16,crit_VERB/crit_CODE,0.651154
1,16,crit_CODE/crit_VERB,0.614840
